Time,TIFD,TIFD_Lat,TIFD_Long,TIRD,TIRD_Lat,TIRD_Long,Distance
20:40:28, at, 0.00070, 0.00070, asdf, 0.00090, 0.00090, 0
20:40:29, at, 0.00080, 0.00080, asdf, 0.00100, 0.00100, 0
20:40:30, at, 0.00090, 0.00090, asdf, 0.00110, 0.00110, 0
20:40:31, at, 0.00100, 0.00100, asdf, 0.00120, 0.00120, 0
20:40:32, at, 0.00110, 0.00110, asdf, 0.00130, 0.00130, 0
20:40:33, at, 0.00120, 0.00120, asdf, 0.00140, 0.00140, 0
20:40:34, at, 0.00130, 0.00130, asdf, 0.00150, 0.00150, 0
20:40:35, at, 0.00140, 0.00140, asdf, 0.00160, 0.00160, 0
20:40:36, at, 0.00150, 0.00150, asdf, 0.00170, 0.00170, 0
20:40:37, at, 0.00160, 0.00160, asdf, 0.00180, 0.00180, 0
