Time,TIFD,TIFD_Lat,TIFD_Long,TIRD,TIRD_Lat,TIRD_Long,Distance
20:40:27, qwr, 0.00070, 0.00070, asc, 0.00080, 0.00080, 0
20:40:28, qwr, 0.00080, 0.00080, asc, 0.00090, 0.00090, 0
20:40:29, qwr, 0.00090, 0.00090, asc, 0.00100, 0.00100, 0
20:40:30, qwr, 0.00100, 0.00100, asc, 0.00110, 0.00110, 0
20:40:31, qwr, 0.00110, 0.00110, asc, 0.00120, 0.00120, 0
20:40:32, qwr, 0.00120, 0.00120, asc, 0.00130, 0.00130, 0
20:40:33, qwr, 0.00130, 0.00130, asc, 0.00140, 0.00140, 0
20:40:34, qwr, 0.00140, 0.00140, asc, 0.00150, 0.00150, 0
20:40:35, qwr, 0.00150, 0.00150, asc, 0.00160, 0.00160, 0
20:40:36, qwr, 0.00160, 0.00160, asc, 0.00170, 0.00170, 0
20:40:37, qwr, 0.00170, 0.00170, asc, 0.00180, 0.00180, 0
