Time,TIFD,TIFD_Lat,TIFD_Long,TIRD,TIRD_Lat,TIRD_Long,Distance
20:40:28, xzv, 0.00070, 0.00070, vbs, 0.00100, 0.00100, 0
20:40:29, xzv, 0.00080, 0.00080, vbs, 0.00110, 0.00110, 0
20:40:30, xzv, 0.00090, 0.00090, vbs, 0.00120, 0.00120, 0
20:40:31, xzv, 0.00100, 0.00100, vbs, 0.00130, 0.00130, 0
20:40:32, xzv, 0.00110, 0.00110, vbs, 0.00140, 0.00140, 0
20:40:33, xzv, 0.00120, 0.00120, vbs, 0.00150, 0.00150, 0
20:40:34, xzv, 0.00130, 0.00130, vbs, 0.00160, 0.00160, 0
20:40:35, xzv, 0.00140, 0.00140, vbs, 0.00170, 0.00170, 0
20:40:36, xzv, 0.00150, 0.00150, vbs, 0.00180, 0.00180, 0
20:40:37, xzv, 0.00160, 0.00160, vbs, 0.00190, 0.00190, 0
