Time,DeviceId,lat,long,Speed,Sat
2:2:50, 13, 0.00000, 0.00000, 21, 0
2:2:51, 13, 36.50000, 127.36170, 21, 0
2:2:52, 13, 36.50100, 127.36170, 21, 0
2:2:53, 13, 36.50200, 127.36170, 21, 0
2:2:54, 13, 36.50300, 127.36170, 21, 0
2:2:55, 13, 36.50400, 127.36170, 21, 0
2:2:56, 13, 36.50500, 127.36170, 21, 0
2:2:57, 13, 36.50600, 127.36170, 21, 0
2:2:58, 13, 36.50700, 127.36170, 21, 0
2:2:59, 13, 36.50800, 127.36170, 21, 0
2:3:0, 13, 36.50900, 127.36170, 21, 0
2:3:1, 13, 36.50999, 127.36170, 21, 0
2:3:2, 13, 36.51099, 127.36170, 21, 0
2:3:3, 13, 36.51199, 127.36170, 21, 0
2:3:4, 13, 36.51299, 127.36170, 21, 0
2:3:5, 13, 36.51399, 127.36170, 21, 0
2:3:6, 13, 36.51499, 127.36170, 21, 0
2:3:7, 13, 36.51599, 127.36170, 21, 0
2:3:8, 13, 36.51699, 127.36170, 21, 0
2:3:9, 13, 36.51799, 127.36170, 21, 0
2:3:10, 13, 36.51899, 127.36170, 21, 0
2:3:11, 13, 36.51999, 127.36170, 21, 0
2:3:12, 13, 36.52099, 127.36170, 21, 0
2:3:13, 13, 36.52199, 127.36170, 21, 0
2:3:14, 13, 36.52299, 127.36170, 21, 0
2:3:15, 13, 36.52399, 127.36170, 21, 0
