Time,DeviceId,lat,long,Speed,Sat
2:0:35, adsf, 0.40000, 0.00000, 21, 0
2:0:36, adsf, 0.00000, 0.00000, 21, 0
2:0:37, adsf, 0.00100, 0.00100, 21, 0
2:0:38, adsf, 0.00200, 0.00200, 21, 0
2:0:39, adsf, 0.00300, 0.00300, 21, 0
2:0:40, adsf, 0.00400, 0.00400, 21, 0
2:0:41, adsf, 0.00500, 0.00500, 21, 0
2:0:42, adsf, 0.00600, 0.00600, 21, 0
2:0:43, adsf, 0.00700, 0.00700, 21, 0
2:0:44, adsf, 0.00800, 0.00800, 21, 0
2:0:45, adsf, 0.00900, 0.00900, 21, 0
2:0:46, adsf, 0.01000, 0.01000, 21, 0
2:0:47, adsf, 0.01100, 0.01100, 21, 0
2:0:48, adsf, 0.01200, 0.01200, 21, 0
2:0:49, adsf, 0.01300, 0.01300, 21, 0
2:0:50, adsf, 0.01400, 0.01400, 21, 0
2:0:51, adsf, 0.01500, 0.01500, 21, 0
2:0:52, adsf, 0.01600, 0.01600, 21, 0
2:0:53, adsf, 0.01700, 0.01700, 21, 0
2:0:54, adsf, 0.01800, 0.01800, 21, 0
2:0:55, adsf, 0.01900, 0.01900, 21, 0
2:0:56, adsf, 0.02000, 0.02000, 21, 0
2:0:57, adsf, 0.02100, 0.02100, 21, 0
