Time,DeviceId,lat,long,Speed,Sat
2:4:9, hello, 0.00000, 0.00000, 21, 0
2:4:10, hello, 36.50000, 127.36170, 21, 0
2:4:11, hello, 36.50100, 127.36170, 21, 0
2:4:12, hello, 36.50200, 127.36170, 21, 0
2:4:13, hello, 36.50300, 127.36170, 21, 0
2:4:14, hello, 36.50400, 127.36170, 21, 0
2:4:15, hello, 36.50500, 127.36170, 21, 0
2:4:16, hello, 36.50600, 127.36170, 21, 0
2:4:17, hello, 36.50700, 127.36170, 21, 0
2:4:18, hello, 36.50800, 127.36170, 21, 0
2:4:19, hello, 36.50900, 127.36170, 21, 0
2:4:20, hello, 36.50999, 127.36170, 21, 0
2:4:21, hello, 36.51099, 127.36170, 21, 0
2:4:22, hello, 36.51199, 127.36170, 21, 0
2:4:23, hello, 36.51299, 127.36170, 21, 0
2:4:24, hello, 36.51399, 127.36170, 21, 0
2:4:25, hello, 36.51499, 127.36170, 21, 0
2:4:26, hello, 36.51599, 127.36170, 21, 0
2:4:27, hello, 36.51699, 127.36170, 21, 0
2:4:28, hello, 36.51799, 127.36170, 21, 0
2:4:29, hello, 36.51899, 127.36170, 21, 0
2:4:30, hello, 36.51999, 127.36170, 21, 0
2:4:31, hello, 36.52099, 127.36170, 21, 0
2:4:32, hello, 36.52199, 127.36170, 21, 0
2:4:34, hello, 36.52299, 127.36170, 21, 0
2:4:35, hello, 36.52399, 127.36170, 21, 0
2:4:36, hello, 36.52499, 127.36170, 21, 0
2:4:37, hello, 36.52599, 127.36170, 21, 0
2:4:38, hello, 36.52699, 127.36170, 21, 0
2:4:39, hello, 36.52798, 127.36170, 21, 0
